Saved Date,Job Url,Job Title,Company Name
"7/5/21, 1:40 AM",http://www.linkedin.com/jobs/view/2579514770,Arkitektrådgivare,"JELD-WEN, Inc."
"8/18/24, 4:01 PM",http://www.linkedin.com/jobs/view/3962777084,Junior Bid Manager till Sogetis Win Center,Sogeti
"5/1/23, 12:37 PM",http://www.linkedin.com/jobs/view/3559455880,Upphandlingschef,Nässjö kommun
"10/17/24, 5:18 AM",http://www.linkedin.com/jobs/view/4028534095,BID Manager till Götessons Design Group,effektiv.se
"7/23/24, 2:00 AM",http://www.linkedin.com/jobs/view/3935103125,Bid / Capture Manager - European Space Industry,Kepler Communications Inc.
"5/31/25, 4:45 PM",http://www.linkedin.com/jobs/view/4214649389,Projektledare för cool ny teknik på Saab,Saab
"12/8/24, 12:12 AM",http://www.linkedin.com/jobs/view/4071988225,Objektspecialist,Jönköpings kommun
"8/25/24, 2:58 AM",http://www.linkedin.com/jobs/view/3960315084,Erfaren projektledare ,Heras
"2/17/25, 8:43 PM",http://www.linkedin.com/jobs/view/4098202253,Procurement Excellence Manager,Saab
"4/5/24, 3:40 AM",http://www.linkedin.com/jobs/view/3812940049,"Enterprise Sales Manager, Northern Europe",Asana
"1/6/25, 8:06 PM",http://www.linkedin.com/jobs/view/4090742519,Strategisk inköpare,Elitfönster AB
"8/18/24, 12:59 PM",http://www.linkedin.com/jobs/view/3980198073,Anbudsansvarig,Linjemontage
"12/10/24, 6:32 PM",http://www.linkedin.com/jobs/view/4071989329,Anbudssamordnare,AFRY
"4/14/25, 5:51 PM",http://www.linkedin.com/jobs/view/4191449578,Affärsdriven strategisk inköpare inom offentlig upphandling och utveckling,Arbetsförmedlingen
"2/16/25, 4:46 PM",http://www.linkedin.com/jobs/view/4136486373,Strategisk inköpare rekryteras till Region Östergötland,Jefferson Wells Sverige
"3/7/24, 1:10 AM",http://www.linkedin.com/jobs/view/3825768047,Bid Manager,Dustin Group
"4/11/24, 12:42 PM",http://www.linkedin.com/jobs/view/3869745556,Account Manager,Jobsafe by Infobric
"5/18/22, 7:39 AM",http://www.linkedin.com/jobs/view/3082185673,Anbudskoordinator till HAGS,HAGS Sverige
"10/6/24, 12:42 AM",http://www.linkedin.com/jobs/view/4017779265,Bid Manager,Sharp Business Systems Nordic
